sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
6842;SDS011;3460;52.028;8.916;2020-08-23T11:47:16;6.53;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:49:48;5.63;;;1.93;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:52:19;4.63;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:54:50;6.77;;;1.77;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:57:21;15.77;;;9.13;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:59:53;4.83;;;2.13;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:02:24;7.43;;;1.97;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:04:55;5.67;;;1.67;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:07:27;6.73;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:09:57;6.33;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:12:27;5.60;;;1.67;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:14:57;5.07;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:17:28;5.10;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:19:59;6.40;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:22:31;5.40;;;1.83;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:25:08;5.97;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:27:40;6.27;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:30:09;5.07;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:32:44;7.50;;;1.93;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:35:16;6.17;;;1.87;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:37:49;7.97;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:40:21;3.77;;;1.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:42:53;5.03;;;1.67;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:45:25;5.03;;;1.83;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:47:58;8.10;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:50:34;4.83;;;1.60;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:53:06;6.63;;;2.07;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:55:36;6.90;;;1.73;;
6842;SDS011;3460;52.028;8.916;2020-08-23T12:58:08;8.23;;;1.93;;
6842;SDS011;3460;52.028;8.916;2020-08-23T13:00:45;6.00;;;1.87;;
6842;SDS011;3460;52.028;8.916;2020-08-23T13:03:33;4.17;;;1.63;;
6842;SDS011;3460;52.028;8.916;2020-08-23T13:06:07;5.47;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T13:08:37;3.53;;;1.63;;
